Unique ID,Match Name,Date,Event,Brand/Promotion,YouTube Link,Dailymotion Link,Other Link,Thumbnail Link
"Shingo Takagi vs. Will Ospreay - NJPW - June 5, 2019 - Best of the Super Juniors Final",Shingo Takagi vs. Will Ospreay,"June 5, 2019",Best of the Super Juniors Final,NJPW,,,,
"Dragon Lee vs. Will Ospreay - NJPW - June 9, 2019 - Dominion 6.9 in Osaka-jo Hall",Dragon Lee vs. Will Ospreay,"June 9, 2019",Dominion 6.9 in Osaka-jo Hall,NJPW,,,,
"Kota Ibushi vs. Will Ospreay - NJPW - July 18, 2019 - G1 Climax 29 Night 5",Kota Ibushi vs. Will Ospreay,"July 18, 2019",G1 Climax 29 Night 5,NJPW,,,,
"Jon Moxley vs. Tomohiro Ishii - NJPW - July 19, 2019 - G1 Climax 29 Night 6",Jon Moxley vs. Tomohiro Ishii,"July 19, 2019",G1 Climax 29 Night 6,NJPW,,,,
"Kazuchika Okada vs. Will Ospreay - NJPW - July 20, 2019 - G1 Climax 29 Night 7",Kazuchika Okada vs. Will Ospreay,"July 20, 2019",G1 Climax 29 Night 7,NJPW,,,,
"Bandido , Flamita , and Rey Horus vs. Black Taurus , Laredo Kid , and Puma King - PWG - July 26, 2019 - Sixteen","Bandido , Flamita , and Rey Horus vs. Black Taurus , Laredo Kid , and Puma King","July 26, 2019",Sixteen,PWG,,,,
"Sanada vs. Kazuchika Okada - NJPW - August 3, 2019 - G1 Climax 29 Night 13",Sanada vs. Kazuchika Okada,"August 3, 2019",G1 Climax 29 Night 13,NJPW,,,,
"Tetsuya Naito vs. Shingo Takagi - NJPW - August 4, 2019 - G1 Climax 29 Night 14",Tetsuya Naito vs. Shingo Takagi,"August 4, 2019",G1 Climax 29 Night 14,NJPW,,,,
"Shingo Takagi vs. Tomohiro Ishii - NJPW - August 8, 2019 - G1 Climax 29 Night 16",Shingo Takagi vs. Tomohiro Ishii,"August 8, 2019",G1 Climax 29 Night 16,NJPW,,,,
"Kota Ibushi vs. Kazuchika Okada - NJPW - August 10, 2019 - G1 Climax 29 Night 17",Kota Ibushi vs. Kazuchika Okada,"August 10, 2019",G1 Climax 29 Night 17,NJPW,,,,
"Kota Ibushi vs. Jay White - NJPW - August 12, 2019 - G1 Climax 29 Final",Kota Ibushi vs. Jay White,"August 12, 2019",G1 Climax 29 Final,NJPW,,,,
"Walter vs. Tyler Bate - WWE - August 31, 2019 - NXT UK TakeOver: Cardiff",Walter vs. Tyler Bate,"August 31, 2019",NXT UK TakeOver: Cardiff,WWE,,,,
"Lucha Brothers ( Pentagón Jr. and Rey Fenix ) vs. The Young Bucks ( Matt Jackson and Nick Jackson ) - AEW - August 31, 2019 - All Out",Lucha Brothers ( Pentagón Jr. and Rey Fenix ) vs. The Young Bucks ( Matt Jackson and Nick Jackson ),"August 31, 2019",All Out,AEW,,,,
"Bandido vs. Dragon Lee - PWG - September 22, 2019 - Battle of Los Angeles Night 3",Bandido vs. Dragon Lee,"September 22, 2019",Battle of Los Angeles Night 3,PWG,,,,
"David Starr vs. Jordan Devlin - OTT - October 26, 2019 - 5th Year Anniversary",David Starr vs. Jordan Devlin,"October 26, 2019",5th Year Anniversary,OTT,,,,
"Will Ospreay vs. Hiromu Takahashi - NJPW - January 4, 2020 - Wrestle Kingdom 14 Night 1",Will Ospreay vs. Hiromu Takahashi,"January 4, 2020",Wrestle Kingdom 14 Night 1,NJPW,,,,
"Kazuchika Okada vs. Kota Ibushi - NJPW - January 4, 2020 - Wrestle Kingdom 14 Night 1",Kazuchika Okada vs. Kota Ibushi,"January 4, 2020",Wrestle Kingdom 14 Night 1,NJPW,,,,
"Kazuchika Okada vs. Tetsuya Naito - NJPW - January 5, 2020 - Wrestle Kingdom 14 Night 2",Kazuchika Okada vs. Tetsuya Naito,"January 5, 2020",Wrestle Kingdom 14 Night 2,NJPW,,,,
"Will Ospreay vs. Zack Sabre Jr. - RevPro - February 14, 2020 - High Stakes",Will Ospreay vs. Zack Sabre Jr.,"February 14, 2020",High Stakes,RevPro,,,,
"Kenny Omega and ""Hangman"" Adam Page vs. The Young Bucks ( Matt Jackson and Nick Jackson ) - AEW - February 29, 2020 - Revolution","Kenny Omega and ""Hangman"" Adam Page vs. The Young Bucks ( Matt Jackson and Nick Jackson )","February 29, 2020",Revolution,AEW,,,,
"Best Friends ( Chuck Taylor and Trent ) vs. Santana and Ortiz - AEW - September 16, 2020 - Dynamite",Best Friends ( Chuck Taylor and Trent ) vs. Santana and Ortiz,"September 16, 2020",Dynamite,AEW,,,,
"Shingo Takagi vs. Will Ospreay - NJPW - September 27, 2020 - G1 Climax 30 Night 5",Shingo Takagi vs. Will Ospreay,"September 27, 2020",G1 Climax 30 Night 5,NJPW,,,,
